ekatte,region,municipality,settlement,permanent_06_2020,current_06_2020
35688,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАМЕНА,305,259
36083,БЛАГОЕВГРАД,ПЕТРИЧ,С. КАПАТОВО,140,172
37143,БЛАГОЕВГРАД,ПЕТРИЧ,С. КЛАДЕНЦИ,33,31
37349,БЛАГОЕВГРАД,ПЕТРИЧ,С. КЛЮЧ,1012,810
37989,БЛАГОЕВГРАД,ПЕТРИЧ,С. КОЛАРОВО,2046,1855
39935,БЛАГОЕВГРАД,ПЕТРИЧ,С. КРОМИДОВО,103,119
40302,БЛАГОЕВГРАД,ПЕТРИЧ,С. КРЪНДЖИЛИЦА,6,5
40508,БЛАГОЕВГРАД,ПЕТРИЧ,С. КУКУРАХЦЕВО,45,43
40539,БЛАГОЕВГРАД,ПЕТРИЧ,С. КУЛАТА,779,738
40912,БЛАГОЕВГРАД,ПЕТРИЧ,С. КЪРНАЛОВО,1744,1613
47189,БЛАГОЕВГРАД,ПЕТРИЧ,С. МАРИКОСТИНОВО,1226,1198
47247,БЛАГОЕВГРАД,ПЕТРИЧ,С. МАРИНО ПОЛЕ,304,253
47799,БЛАГОЕВГРАД,ПЕТРИЧ,С. МЕНДОВО,100,81
48458,БЛАГОЕВГРАД,ПЕТРИЧ,С. МИТИНО,422,316
48578,БЛАГОЕВГРАД,ПЕТРИЧ,С. МИХНЕВО,1051,973
52091,БЛАГОЕВГРАД,ПЕТРИЧ,С. НОВО КОНОМЛАДИ,124,123
58061,БЛАГОЕВГРАД,ПЕТРИЧ,С. ПРАВО БЪРДО,48,47
59077,БЛАГОЕВГРАД,ПЕТРИЧ,С. ПЪРВОМАЙ,3719,3331
62623,БЛАГОЕВГРАД,ПЕТРИЧ,С. РИБНИК,135,135
49312,БЛАГОЕВГРАД,ПЕТРИЧ,С. РУПИТЕ,1048,1002
63542,БЛАГОЕВГРАД,ПЕТРИЧ,С. РЪЖДАК,257,265
65293,БЛАГОЕВГРАД,ПЕТРИЧ,С. САМУИЛОВО,878,852
66901,БЛАГОЕВГРАД,ПЕТРИЧ,С. СКРЪТ,1429,955
69119,БЛАГОЕВГРАД,ПЕТРИЧ,С. СТАРЧЕВО,533,532
69941,БЛАГОЕВГРАД,ПЕТРИЧ,С. СТРУМЕШНИЦА,390,311
72672,БЛАГОЕВГРАД,ПЕТРИЧ,С. ТОНСКО ДАБЕ,1,3
72744,БЛАГОЕВГРАД,ПЕТРИЧ,С. ТОПОЛНИЦА,720,664
81788,БЛАГОЕВГРАД,ПЕТРИЧ,С. ЧУРИЛОВО,38,34
81791,БЛАГОЕВГРАД,ПЕТРИЧ,С. ЧУРИЧЕНИ,134,124
81832,БЛАГОЕВГРАД,ПЕТРИЧ,С. ЧУЧУЛИГОВО,176,181
87134,БЛАГОЕВГРАД,ПЕТРИЧ,С. ЯВОРНИЦА,1014,806
87312,БЛАГОЕВГРАД,ПЕТРИЧ,С. ЯКОВО,58,74
61813,БЛАГОЕВГРАД,РАЗЛОГ,ГР. РАЗЛОГ,13158,12478
02693,БЛАГОЕВГРАД,РАЗЛОГ,С. БАНЯ,2915,2891
02960,БЛАГОЕВГРАД,РАЗЛОГ,С. БАЧЕВО,1597,1559
15326,БЛАГОЕВГРАД,РАЗЛОГ,С. ГОДЛЕВО,504,479
16754,БЛАГОЕВГРАД,РАЗЛОГ,С. ГОРНО ДРАГЛИЩЕ,880,854
21748,БЛАГОЕВГРАД,РАЗЛОГ,С. ДОБЪРСКО,588,555
22602,БЛАГОЕВГРАД,РАЗЛОГ,С. ДОЛНО ДРАГЛИЩЕ,599,667
27293,БЛАГОЕВГРАД,РАЗЛОГ,С. ЕЛЕШНИЦА,1342,1275
47754,БЛАГОЕВГРАД,САНДАНСКИ,ГР. МЕЛНИК,194,252
65334,БЛАГОЕВГРАД,САНДАНСКИ,ГР. САНДАНСКИ,30695,27548
03335,БЛАГОЕВГРАД,САНДАНСКИ,С. БЕЛЕВЕХЧЕВО,0,6
03784,БЛАГОЕВГРАД,САНДАНСКИ,С. БЕЛЬОВО,2,0
04933,БЛАГОЕВГРАД,САНДАНСКИ,С. БОЖДОВО,2,6
11168,БЛАГОЕВГРАД,САНДАНСКИ,С. ВИНОГРАДИ,48,46
11315,БЛАГОЕВГРАД,САНДАНСКИ,С. ВИХРЕН,3,0
12200,БЛАГОЕВГРАД,САНДАНСКИ,С. ВРАНЯ,98,114
12471,БЛАГОЕВГРАД,САНДАНСКИ,С. ВЪЛКОВО,425,399
15549,БЛАГОЕВГРАД,САНДАНСКИ,С. ГОЛЕМ ЦАЛИМ,10,16
15583,БЛАГОЕВГРАД,САНДАНСКИ,С. ГОЛЕШОВО,24,28
16403,БЛАГОЕВГРАД,САНДАНСКИ,С. ГОРНА СУШИЦА,21,21
16969,БЛАГОЕВГРАД,САНДАНСКИ,С. ГОРНО СПАНЧЕВО,70,69
20105,БЛАГОЕВГРАД,САНДАНСКИ,С. ДАМЯНИЦА,1276,1271
20345,БЛАГОЕВГРАД,САНДАНСКИ,С. ДЕБРЕНЕ,28,40
20780,БЛАГОЕВГРАД,САНДАНСКИ,С. ДЖИГУРОВО,710,718
21909,БЛАГОЕВГРАД,САНДАНСКИ,С. ДОЛЕНИ,4,7
31139,БЛАГОЕВГРАД,САНДАНСКИ,С. ЗЛАТОЛИСТ,11,9
20910,БЛАГОЕВГРАД,САНДАНСКИ,С. ЗОРНИЦА,73,87
35362,БЛАГОЕВГРАД,САНДАНСКИ,С. КАЛИМАНЦИ,177,159
36693,БЛАГОЕВГРАД,САНДАНСКИ,С. КАТУНЦИ,1226,1166
36734,БЛАГОЕВГРАД,САНДАНСКИ,С. КАШИНА,4,10
37486,БЛАГОЕВГРАД,САНДАНСКИ,С. КОВАЧЕВО,10,30
40378,БЛАГОЕВГРАД,САНДАНСКИ,С. КРЪСТИЛЦИ,8,11
40926,БЛАГОЕВГРАД,САНДАНСКИ,С. КЪРЛАНОВО,38,32
43030,БЛАГОЕВГРАД,САНДАНСКИ,С. ЛАДАРЕВО,20,30
43150,БЛАГОЕВГРАД,САНДАНСКИ,С. ЛАСКАРЕВО,164,146
43181,БЛАГОЕВГРАД,САНДАНСКИ,С. ЛЕБНИЦА,385,377
43243,БЛАГОЕВГРАД,САНДАНСКИ,С. ЛЕВУНОВО,594,635
43503,БЛАГОЕВГРАД,САНДАНСКИ,С. ЛЕХОВО,4,3
43565,БЛАГОЕВГРАД,САНДАНСКИ,С. ЛЕШНИЦА,772,673
43699,БЛАГОЕВГРАД,САНДАНСКИ,С. ЛИЛЯНОВО,254,220
44121,БЛАГОЕВГРАД,САНДАНСКИ,С. ЛОЗЕНИЦА,66,65
44625,БЛАГОЕВГРАД,САНДАНСКИ,С. ЛЮБОВИЩЕ,12,17
44639,БЛАГОЕВГРАД,САНДАНСКИ,С. ЛЮБОВКА,21,30
46526,БЛАГОЕВГРАД,САНДАНСКИ,С. МАЛКИ ЦАЛИМ,4,5
52074,БЛАГОЕВГРАД,САНДАНСКИ,С. НОВО ДЕЛЧЕВО,1105,1013
52307,БЛАГОЕВГРАД,САНДАНСКИ,С. НОВО ХОДЖОВО,49,45
56174,БЛАГОЕВГРАД,САНДАНСКИ,С. ПЕТРОВО,442,441
56352,БЛАГОЕВГРАД,САНДАНСКИ,С. ПИПЕРИЦА,10,9
56410,БЛАГОЕВГРАД,САНДАНСКИ,С. ПИРИН,164,138
56839,БЛАГОЕВГРАД,САНДАНСКИ,С. ПЛОСКИ,555,673
57176,БЛАГОЕВГРАД,САНДАНСКИ,С. ПОЛЕНИЦА,1297,1241
62918,БЛАГОЕВГРАД,САНДАНСКИ,С. РОЖЕН,9,12
66785,БЛАГОЕВГРАД,САНДАНСКИ,С. СКЛАВЕ,1406,1399
68223,БЛАГОЕВГРАД,САНДАНСКИ,С. СПАТОВО,85,103
69290,БЛАГОЕВГРАД,САНДАНСКИ,С. СТОЖА,33,67
69938,БЛАГОЕВГРАД,САНДАНСКИ,С. СТРУМА,580,547
70189,БЛАГОЕВГРАД,САНДАНСКИ,С. СУГАРЕВО,12,13
77361,БЛАГОЕВГРАД,САНДАНСКИ,С. ХОТОВО,89,106
77414,БЛАГОЕВГРАД,САНДАНСКИ,С. ХРАСНА,0,8
77565,БЛАГОЕВГРАД,САНДАНСКИ,С. ХЪРСОВО,178,186
80618,БЛАГОЕВГРАД,САНДАНСКИ,С. ЧЕРЕШНИЦА,29,35
87446,БЛАГОЕВГРАД,САНДАНСКИ,С. ЯНОВО,125,115
04707,БЛАГОЕВГРАД,САТОВЧА,С. БОГОЛИН,471,420
10046,БЛАГОЕВГРАД,САТОВЧА,С. ВАКЛИНОВО,1288,1048
12499,БЛАГОЕВГРАД,САТОВЧА,С. ВЪЛКОСЕЛ,2780,2359
15312,БЛАГОЕВГРАД,САТОВЧА,С. ГОДЕШЕВО,938,797
21868,БЛАГОЕВГРАД,САТОВЧА,С. ДОЛЕН,381,354
29372,БЛАГОЕВГРАД,САТОВЧА,С. ЖИЖЕВО,362,346
39089,БЛАГОЕВГРАД,САТОВЧА,С. КОЧАН,3437,2769
39726,БЛАГОЕВГРАД,САТОВЧА,С. КРИБУЛ,395,342
54225,БЛАГОЕВГРАД,САТОВЧА,С. ОСИНА,611,539
56740,БЛАГОЕВГРАД,САТОВЧА,С. ПЛЕТЕНА,1976,1726
65440,БЛАГОЕВГРАД,САТОВЧА,С. САТОВЧА,2429,1900
67270,БЛАГОЕВГРАД,САТОВЧА,С. СЛАЩЕН,2318,1836
73519,БЛАГОЕВГРАД,САТОВЧА,С. ТУХОВИЩА,889,798
76203,БЛАГОЕВГРАД,САТОВЧА,С. ФЪРГОВО,481,463
66460,БЛАГОЕВГРАД,СИМИТЛИ,ГР. СИМИТЛИ,7372,7046
06238,БЛАГОЕВГРАД,СИМИТЛИ,С. БРЕЖАНИ,760,732
06522,БЛАГОЕВГРАД,СИМИТЛИ,С. БРЕСТОВО,8,13
16870,БЛАГОЕВГРАД,СИМИТЛИ,С. ГОРНО ОСЕНОВО,4,3
17405,БЛАГОЕВГРАД,СИМИТЛИ,С. ГРАДЕВО,143,182
21837,БЛАГОЕВГРАД,СИМИТЛИ,С. ДОКАТИЧЕВО,2,2
22753,БЛАГОЕВГРАД,СИМИТЛИ,С. ДОЛНО ОСЕНОВО,1610,1527
29146,БЛАГОЕВГРАД,СИМИТЛИ,С. ЖЕЛЕЗНИЦА,293,303
40052,БЛАГОЕВГРАД,СИМИТЛИ,С. КРУПНИК,2221,2139
48012,БЛАГОЕВГРАД,СИМИТЛИ,С. МЕЧКУЛ,12,37
57162,БЛАГОЕВГРАД,СИМИТЛИ,С. ПОЛЕНА,709,688
57203,БЛАГОЕВГРАД,СИМИТЛИ,С. ПОЛЕТО,645,626
61978,БЛАГОЕВГРАД,СИМИТЛИ,С. РАКИТНА,87,102
66247,БЛАГОЕВГРАД,СИМИТЛИ,С. СЕНОКОС,27,35
70370,БЛАГОЕВГРАД,СИМИТЛИ,С. СУХОСТРЕЛ,1,6
71831,БЛАГОЕВГРАД,СИМИТЛИ,С. СУШИЦА,35,45
73184,БЛАГОЕВГРАД,СИМИТЛИ,С. ТРОСКОВО,3,10
81013,БЛАГОЕВГРАД,СИМИТЛИ,С. ЧЕРНИЧЕ,1083,1015
10608,БЛАГОЕВГРАД,СТРУМЯНИ,С. ВЕЛЮЩЕЦ,2,2
12142,БЛАГОЕВГРАД,СТРУМЯНИ,С. ВРАКУПОВИЦА,12,8
16033,БЛАГОЕВГРАД,СТРУМЯНИ,С. ГОРЕМЕ,61,60
16273,БЛАГОЕВГРАД,СТРУМЯНИ,С. ГОРНА КРУШИЦА,40,60
16362,БЛАГОЕВГРАД,СТРУМЯНИ,С. ГОРНА РИБНИЦА,3,4
21467,БЛАГОЕВГРАД,СТРУМЯНИ,С. ДОБРИ ЛАКИ,144,123
23532,БЛАГОЕВГРАД,СТРУМЯНИ,С. ДРАКАТА,152,133
32322,БЛАГОЕВГРАД,СТРУМЯНИ,С. ИГРАЛИЩЕ,257,219
32665,БЛАГОЕВГРАД,СТРУМЯНИ,С. ИЛИНДЕНЦИ,782,755
35818,БЛАГОЕВГРАД,СТРУМЯНИ,С. КАМЕНИЦА,89,107
37191,БЛАГОЕВГРАД,СТРУМЯНИ,С. КЛЕПАЛО,28,24
38056,БЛАГОЕВГРАД,СТРУМЯНИ,С. КОЛИБИТЕ,3,4
40957,БЛАГОЕВГРАД,СТРУМЯНИ,С. КЪРПЕЛЕВО,28,21
47473,БЛАГОЕВГРАД,СТРУМЯНИ,С. МАХАЛАТА,26,28
49686,БЛАГОЕВГРАД,СТРУМЯНИ,С. МИКРЕВО,2416,2343
51737,БЛАГОЕВГРАД,СТРУМЯНИ,С. НИКУДИН,66,78
55227,БЛАГОЕВГРАД,СТРУМЯНИ,С. ПАЛАТ,25,30
61772,БЛАГОЕВГРАД,СТРУМЯНИ,С. РАЗДОЛ,163,166
65930,БЛАГОЕВГРАД,СТРУМЯНИ,С. СЕДЕЛЕЦ,19,20
69969,БЛАГОЕВГРАД,СТРУМЯНИ,С. СТРУМЯНИ,864,843
78046,БЛАГОЕВГРАД,СТРУМЯНИ,С. ЦАПАРЕВО,125,122
77058,БЛАГОЕВГРАД,ХАДЖИДИМОВО,ГР. ХАДЖИДИМОВО,2839,2617
00014,БЛАГОЕВГРАД,ХАДЖИДИМОВО,С. АБЛАНИЦА,2871,2578
03976,БЛАГОЕВГРАД,ХАДЖИДИМОВО,С. БЕСЛЕН,721,681
04399,БЛАГОЕВГРАД,ХАДЖИДИМОВО,С. БЛАТСКА,852,658
14341,БЛАГОЕВГРАД,ХАДЖИДИМОВО,С. ГАЙТАНИНОВО,44,55
32648,БЛАГОЕВГРАД,ХАДЖИДИМОВО,С. ИЛИНДЕН,68,96
38532,БЛАГОЕВГРАД,ХАДЖИДИМОВО,С. КОПРИВЛЕН,1298,1305
44464,БЛАГОЕВГРАД,ХАДЖИДИМОВО,С. ЛЪКИ,33,58
51860,БЛАГОЕВГРАД,ХАДЖИДИМОВО,С. НОВА ЛОВЧА,47,55
52101,БЛАГОЕВГРАД,ХАДЖИДИМОВО,С. НОВО ЛЕСКИ,397,354
55467,БЛАГОЕВГРАД,ХАДЖИДИМОВО,С. ПАРИЛ,3,7
56109,БЛАГОЕВГРАД,ХАДЖИДИМОВО,С. ПЕТРЕЛИК,158,153
65108,БЛАГОЕВГРАД,ХАДЖИДИМОВО,С. САДОВО,400,398
72268,БЛАГОЕВГРАД,ХАДЖИДИМОВО,С. ТЕПЛЕН,480,467
72374,БЛАГОЕВГРАД,ХАДЖИДИМОВО,С. ТЕШОВО,140,140
87338,БЛАГОЕВГРАД,ЯКОРУДА,ГР. ЯКОРУДА,5813,5330
00059,БЛАГОЕВГРАД,ЯКОРУДА,С. АВРАМОВО,729,670
03561,БЛАГОЕВГРАД,ЯКОРУДА,С. БЕЛ КАМЕН,564,529
07822,БЛАГОЕВГРАД,ЯКОРУДА,С. БУНЦЕВО,517,524
38220,БЛАГОЕВГРАД,ЯКОРУДА,С. КОНАРСКО,951,868
32603,БЛАГОЕВГРАД,ЯКОРУДА,С. СМОЛЕВО,551,512
81850,БЛАГОЕВГРАД,ЯКОРУДА,С. ЧЕРНА МЕСТА,415,408
86101,БЛАГОЕВГРАД,ЯКОРУДА,С. ЮРУКОВО,1198,1158
00151,БУРГАС,АЙТОС,ГР. АЙТОС,24750,22381
23889,БУРГАС,АЙТОС,С. ДРЯНКОВЕЦ,202,216
30805,БУРГАС,АЙТОС,С. ЗЕТЬОВО,323,251
36227,БУРГАС,АЙТОС,С. КАРАГЕОРГИЕВО,1781,1381
36381,БУРГАС,АЙТОС,С. КАРАНОВО,905,916
44817,БУРГАС,АЙТОС,С. ЛЯСКОВО,74,148
46440,БУРГАС,АЙТОС,С. МАЛКА ПОЛЯНА,673,406
49477,БУРГАС,АЙТОС,С. МЪГЛЕН,1622,1305
56321,БУРГАС,АЙТОС,С. ПЕЩЕРСКО,983,698
56438,БУРГАС,АЙТОС,С. ПИРНЕ,594,807
57426,БУРГАС,АЙТОС,С. ПОЛЯНОВО,490,374
62013,БУРГАС,АЙТОС,С. РАКЛИНОВО,152,144
70473,БУРГАС,АЙТОС,С. СЪДИЕВО,298,419
72727,БУРГАС,АЙТОС,С. ТОПОЛИЦА,1051,952
80813,БУРГАС,АЙТОС,С. ЧЕРНА МОГИЛА,497,370
81102,БУРГАС,АЙТОС,С. ЧЕРНОГРАД,666,587
81640,БУРГАС,АЙТОС,С. ЧУКАРКА,773,674
07079,БУРГАС,БУРГАС,ГР. БУРГАС,226868,210521
07332,БУРГАС,БУРГАС,ГР. БЪЛГАРОВО,1952,1976
06152,БУРГАС,БУРГАС,С. БРАТОВО,96,124
06776,БУРГАС,БУРГАС,С. БРЯСТОВЕЦ,222,434
21141,БУРГАС,БУРГАС,С. ДИМЧЕВО,139,203
23090,БУРГАС,БУРГАС,С. ДРАГАНОВО,514,442
32367,БУРГАС,БУРГАС,С. ИЗВОР,428,607
32425,БУРГАС,БУРГАС,С. ИЗВОРИЩЕ,452,448
47202,БУРГАС,БУРГАС,С. МАРИНКА,1076,1217
48409,БУРГАС,БУРГАС,С. МИРОЛЮБОВО,80,110
61145,БУРГАС,БУРГАС,С. РАВНЕЦ,1596,1641
72151,БУРГАС,БУРГАС,С. ТВЪРДИЦА,434,451
17974,БУРГАС,СРЕДЕЦ,ГР. СРЕДЕЦ,9237,8913
03349,БУРГАС,СРЕДЕЦ,С. БЕЛЕВРЕН,10,16
03455,БУРГАС,СРЕДЕЦ,С. БЕЛИЛА,9,49
04176,БУРГАС,СРЕДЕЦ,С. БИСТРЕЦ,38,148
04621,БУРГАС,СРЕДЕЦ,С. БОГДАНОВО,25,65
10166,БУРГАС,СРЕДЕЦ,С. ВАРОВНИК,4,12
72059,БУРГАС,СРЕДЕЦ,С. ВЪЛЧАНОВО,17,136
15816,БУРГАС,СРЕДЕЦ,С. ГОЛЯМО БУКОВО,28,128
17035,БУРГАС,СРЕДЕЦ,С. ГОРНО ЯБЪЛКОВО,8,35
17720,БУРГАС,СРЕДЕЦ,С. ГРАНИТЕЦ,11,16
